ensgene,length,SRR493366,SRR493367,SRR493368,SRR493369,SRR493370,SRR493371
ENSG00000186092,918,0,0,0,0,0,0
ENSG00000279928,718,0,0,0,0,0,0
ENSG00000279457,1982,23,28,29,29,28,46
ENSG00000278566,939,0,0,0,0,0,0
ENSG00000273547,939,0,0,0,0,0,0
ENSG00000187634,3214,124,123,205,207,212,258
ENSG00000188976,5539,1637,1831,2383,1226,1326,1504
ENSG00000187961,3395,120,153,180,236,255,357
ENSG00000187583,2833,24,48,65,44,48,64
ENSG00000187642,3424,4,9,16,14,16,16
ENSG00000188290,1118,31,34,57,172,172,223
ENSG00000187608,942,244,289,386,373,422,430
ENSG00000188157,10758,6547,6758,9367,9853,10483,13037
ENSG00000237330,1902,0,0,0,0,1,0
ENSG00000131591,6322,115,135,169,143,174,225
ENSG00000162571,3943,0,0,0,0,0,0
ENSG00000186891,1370,2,0,0,0,2,0
ENSG00000186827,1721,0,0,1,1,2,1
ENSG00000078808,4709,3355,3427,4634,4963,5313,6517
ENSG00000176022,2777,555,744,925,950,1059,1339
ENSG00000184163,1794,4,5,2,6,3,7
ENSG00000160087,4712,805,943,1261,1300,1439,1811
ENSG00000162572,4025,18,17,32,36,45,50
ENSG00000131584,8809,654,794,1010,1198,1279,1657
ENSG00000169972,2489,186,209,233,225,244,282
ENSG00000127054,8220,833,852,1144,867,844,1034
ENSG00000224051,2556,244,292,393,264,272,360
ENSG00000169962,3433,4,4,9,3,6,11
ENSG00000107404,3814,829,926,1255,891,983,1179
ENSG00000162576,3622,3604,3957,5289,6006,6638,7988
ENSG00000175756,1669,824,929,1210,1084,1088,1385
ENSG00000221978,6850,943,966,1346,1466,1685,1976
ENSG00000242485,2788,544,665,774,621,662,767
ENSG00000235098,2644,0,1,3,1,2,1
ENSG00000205116,492,0,0,0,0,0,0
ENSG00000179403,5065,98,84,109,113,117,139
ENSG00000215915,3976,1,0,0,1,1,0
ENSG00000160072,7682,384,508,662,279,337,387
ENSG00000197785,3069,634,832,1041,513,543,717
ENSG00000205090,1380,34,30,30,53,39,59
ENSG00000160075,6925,1422,1679,2153,1805,1960,2327
ENSG00000279244,276,0,0,0,0,0,0
ENSG00000228594,2085,120,147,181,197,223,211
ENSG00000197530,8767,529,556,753,802,882,1080
ENSG00000189409,2714,3,3,1,2,3,3
ENSG00000248333,3811,398,418,511,464,509,601
ENSG00000189339,8395,1028,1090,1414,2166,2276,2866
ENSG00000008128,4701,9,14,8,15,12,20
ENSG00000215790,3264,21,22,32,57,57,90
ENSG00000008130,5570,749,841,1143,887,1032,1175
ENSG00000078369,6417,7584,8990,11589,9445,10677,12409
ENSG00000169885,2321,0,1,1,1,4,2
ENSG00000178821,1594,2,2,5,1,3,3
ENSG00000142609,10422,0,0,0,0,0,0
ENSG00000187730,1928,0,0,0,0,0,0
ENSG00000067606,7636,19,17,45,42,40,49
ENSG00000162585,10916,472,550,701,691,737,854
ENSG00000157933,6080,1648,2062,2658,1274,1450,1626
ENSG00000116151,11337,26,52,51,37,48,70
ENSG00000157916,5691,1744,1887,2362,2144,2240,2722
ENSG00000157911,3789,185,194,269,177,182,256
ENSG00000149527,10781,30,32,41,21,22,37
ENSG00000157881,5107,373,391,527,391,432,534
ENSG00000197921,1306,0,0,0,0,0,0
ENSG00000157873,6219,12,12,18,29,46,34
ENSG00000157870,3371,442,522,643,205,222,291
ENSG00000142606,3844,0,0,1,0,0,1
ENSG00000215912,5900,2,2,0,3,3,5
ENSG00000169717,1421,0,0,0,0,0,0
ENSG00000142611,9767,2,5,3,8,3,3
ENSG00000130762,5563,0,0,1,2,1,1
ENSG00000162591,7039,84,92,139,125,142,159
ENSG00000158109,2414,1298,1549,1825,1956,2135,2471
ENSG00000116213,7604,157,161,218,189,192,286
ENSG00000078900,6763,3,0,1,0,1,1
ENSG00000162592,2318,0,0,3,1,0,0
ENSG00000235169,954,7,7,13,7,5,10
ENSG00000130764,4516,613,692,848,538,558,661
ENSG00000116198,7876,605,695,871,972,985,1188
ENSG00000169598,3870,99,98,118,82,92,109
ENSG00000198912,4388,225,264,319,246,280,335
ENSG00000196581,12405,2,0,6,3,1,4
ENSG00000131697,13167,133,143,201,293,270,358
ENSG00000069424,9534,98,97,158,138,180,177
ENSG00000116254,9890,3,2,3,8,6,8
ENSG00000116251,4900,2638,2993,3542,2928,3363,3668
ENSG00000158286,6585,13,21,30,10,16,11
ENSG00000116237,4910,2128,2391,3047,1950,2106,2445
ENSG00000173673,697,0,0,0,0,0,0
ENSG00000158292,4082,150,158,227,167,207,230
ENSG00000097021,4124,1113,1242,1744,1049,1196,1317
ENSG00000069812,5407,1,1,0,4,7,7
ENSG00000187017,4651,0,1,0,0,2,1
ENSG00000215788,3918,30,30,31,69,77,94
ENSG00000171680,6920,233,278,371,501,549,725
ENSG00000162408,7293,340,434,499,289,270,353
ENSG00000173662,2892,0,0,1,0,0,0
ENSG00000204859,4503,94,82,141,117,133,178
ENSG00000162413,6901,1203,1347,1818,2641,2503,3258
ENSG00000116273,3681,434,423,560,486,468,547
ENSG00000041988,4072,125,135,160,97,120,135
ENSG00000007923,5083,653,729,911,528,568,645
ENSG00000171735,10033,243,308,344,271,325,352
ENSG00000049245,2760,1885,2285,2781,1452,1604,1835
ENSG00000049246,8099,143,136,170,126,123,194
ENSG00000049247,1791,0,0,1,1,0,0
ENSG00000049249,6331,5,3,3,1,0,2
ENSG00000116288,2397,2035,2304,2878,1917,2127,2365
ENSG00000116285,4186,2398,3031,3727,1352,2012,1836
ENSG00000162426,2888,52,57,88,64,69,73
ENSG00000142599,11503,1494,1592,2084,1093,1100,1306
ENSG00000074800,3958,21088,23907,30606,9719,11297,12510
ENSG00000131686,2662,0,0,1,0,0,0
ENSG00000197241,1539,0,0,0,0,0,0
ENSG00000142583,6693,1,0,0,0,2,2
ENSG00000180758,5372,141,156,195,93,93,108
ENSG00000049239,9321,1497,1716,2066,1255,1429,1687
ENSG00000171621,3403,410,528,662,595,707,826
ENSG00000171612,3854,135,151,187,138,193,237
ENSG00000188807,6966,251,292,403,359,349,434
ENSG00000171608,6332,515,669,881,395,512,585
ENSG00000171603,5559,3502,3852,5043,3788,4210,4795
ENSG00000280113,649,0,0,0,0,0,0
ENSG00000178585,3339,294,376,466,318,366,411
ENSG00000162441,2794,301,349,468,178,211,250
ENSG00000173614,4610,195,227,278,189,218,233
ENSG00000162444,861,0,0,0,1,1,0
ENSG00000130939,9128,1163,1379,1776,2404,2584,3076
ENSG00000054523,17693,1496,1685,2001,1457,1786,1836
ENSG00000142657,2966,3041,3533,4363,3924,4197,5296
ENSG00000251503,2301,2,2,3,3,3,3
ENSG00000175279,1739,9,16,19,13,18,18
ENSG00000241563,1130,2,4,3,3,2,3
ENSG00000160049,6622,762,891,1138,840,816,1071
ENSG00000142655,2995,276,298,344,252,319,329
ENSG00000130940,11336,5,3,8,4,1,4
ENSG00000175262,3573,0,0,0,0,0,0
ENSG00000120948,6071,1066,1221,1531,1030,1130,1390
ENSG00000277726,2205,0,0,1,0,0,0
ENSG00000009724,4251,12,19,20,11,17,15
ENSG00000116649,1898,2257,2610,3504,1131,1308,1460
ENSG00000171824,6003,646,782,1065,733,821,929
ENSG00000198793,12119,1322,1536,1917,1605,1700,1996
ENSG00000171819,2238,1,0,2,0,0,1
ENSG00000120942,5082,223,284,318,219,246,273
ENSG00000204624,6142,1,2,0,5,5,3
ENSG00000116661,2333,21,25,36,62,66,78
ENSG00000132879,3527,195,188,238,212,209,265
ENSG00000116663,1811,50,62,92,57,67,69
ENSG00000116670,3324,254,295,425,260,268,345
ENSG00000162490,7346,2,3,3,27,18,29
ENSG00000177674,2435,288,302,392,483,470,651
ENSG00000215910,6499,0,0,0,0,0,0
ENSG00000177000,10214,210,218,309,305,320,387
ENSG00000011021,6938,227,262,311,466,450,551
ENSG00000175206,1120,0,0,0,1,2,2
ENSG00000120937,694,2,0,0,2,3,0
ENSG00000116685,3281,1077,1139,1584,1392,1440,1678
ENSG00000083444,5320,8049,8686,11522,10145,11007,12454
ENSG00000116688,4973,1961,2341,3004,2083,2308,2560
ENSG00000116691,2821,146,143,206,92,129,140
ENSG00000120949,3738,4,3,6,1,2,1
ENSG00000028137,3766,268,305,443,206,220,277
ENSG00000048707,20023,850,1061,1068,1292,1359,1533
ENSG00000162496,3036,109,114,135,338,363,434
ENSG00000204518,1575,0,0,0,0,0,0
ENSG00000188984,4049,0,0,0,0,0,0
ENSG00000157330,4118,0,0,0,0,0,0
ENSG00000116726,1786,0,0,0,0,0,0
ENSG00000116721,2439,0,0,0,0,0,0
ENSG00000239810,1845,0,0,0,0,0,0
ENSG00000179172,1201,1,3,1,1,0,1
ENSG00000120952,1642,0,0,0,0,0,1
ENSG00000243073,1828,0,0,0,0,0,0
